TT2190,"0,00 € (0,00 kn)",TR=BU1508DX,0  - pošalji upit
TT2170,"0,00 € (0,00 kn)",TRANZISTOR LG,0  - pošalji upit
TT2140-PMC,"2,65 € (19,97 kn)",TR-N-SI+D 1500/700V 8A 35W,0  - pošalji upit
TT2138,"0,00 € (0,00 kn)",N-FET=2SK2647,0  - pošalji upit
TT2062,"3,92 € (29,54 kn)",TR-N 1500V 18A 85W 0.2us,2  - ima na lageru
TSC873CW-TS,"2,26 € (17,03 kn)",TR-N 600V 1A 1.2W SOT223,10  - ima na lageru
TPDV840-ST,"14,86 € (111,96 kn)",ALTERNISTOR 40A 800V TOP3,10  - ima na lageru
TPDV640RG-ST,"15,26 € (114,98 kn)",ALTERNISTOR 40A 600V TOP3,10  - ima na lageru
TPDV1240-ST,"12,61 € (95,01 kn)",ALTERNISTOR 40A 1200V(TOP3),3  - ima na lageru
TPC8110-TOS,"3,40 € (25,62 kn)",TR-SMD-FET(SO8),10  - ima na lageru
TPC8107-SMD FET-SNY,"3,97 € (29,91 kn)",TR-SMD-FET (SOP-8),0  - pošalji upit
TP0606N3-G,"1,59 € (11,98 kn)",TR-P-FET 60V 1.5A (TO92),10  - ima na lageru
TP0604N3-G,"2,12 € (15,97 kn)",TR-P-FET 40V 2A 740mW (TO92),3  - ima na lageru
TO3 SET,"0,66 € (4,97 kn)",SET IZOLATORA ZA KUČIŠTE TO220,49  - ima na lageru
TO220-SET,"0,66 € (4,97 kn)",SET IZOLATORA ZA  KUĆIŠTE TO220,28  - ima na lageru
TN6725-FAI(TO92),"2,65 € (19,97 kn)",TR-,10  - ima na lageru
TK8P60W-TOSHIBA,"1,99 € (14,99 kn)",TR-N-FET 600V 8A 80W (DPAK),0  - pošalji upit
TK8A65D-TOS(TO220F),"3,32 € (25,01 kn)","TR-N-FET 650V 8A 0,7R",19  - ima na lageru
TK7P60V,"0,00 € (0,00 kn)",TR- (TO252),0  - pošalji upit
TK6A65D-TOS,"3,32 € (25,01 kn)",TR-N-FET 650V 6A 45W(TO220F),16  - ima na lageru
TIPL760-TI,"5,48 € (41,29 kn)",TR-N-,9  - ima na lageru
TIP50-ST,"0,80 € (6,03 kn)",TR-N-500V 1A 40W 10MHz(TO220),5  - ima na lageru
TIP49-POW,"1,79 € (13,49 kn)",TR-N 450V 1A 40W(TO220),10  - ima na lageru
TIP48-FSC,"1,33 € (10,02 kn)",TR-N-400V 1A 40W (TO220),19  - ima na lageru
TIP42C-ST(MALAYSIA),"1,60 € (12,06 kn)",TR-P 115V 6A 65W >3MHz(TO220),15  - ima na lageru
TIP41C-ST,"1,33 € (10,02 kn)",TR-N 115V 6A 65W >3MHz(TO220),11  - ima na lageru
TIP36C-ST,"1,86 € (14,01 kn)",TR-P-115V 25A 125W 3MHz(TO3P),24  - ima na lageru
TIP36B-ST,"1,54 € (11,60 kn)",TR-P-80V 25A 125W(TO247),18  - ima na lageru
TIP35C-ST(TO247),"2,44 € (18,38 kn)",TR-N-100V 25A 125W 3MHz,37  - ima na lageru
TIP34C-MBR,"2,44 € (18,38 kn)",TR-P-115V 10A 80W 3MHz,5  - ima na lageru
TIP33C-MBR,"1,99 € (14,99 kn)",TR-N-115V 10A 80W,6  - ima na lageru
TIP32C-FSC,"1,06 € (7,99 kn)",P-TRANZISTOR 115V 10A 80W,41  - ima na lageru
TIP32A-SAM,"1,59 € (11,98 kn)",TR-NPN-115V 3A 40W>3MHz,5  - ima na lageru
