Part Number, Price, Package, Qty
WT8043-WELTREND,"14,73 € (110,98 kn)",IC,2
WS82C55AG-5P,"0,00 € (0,00 kn)",IC=UPD8255C2,0
W29C040T-WINBOND,"10,62 € (80,02 kn)",IC-SMD 32 PIN,10
W29C040T-90,"0,00 € (0,00 kn)",IC=AT29C040A-12TI=10TI,0
W28Q32BVSSIG,"3,28 € (24,71 kn)",IC,20
W25Q80BVSIG-WINBOND(SO8),"3,45 € (25,99 kn)",IC-SMD(SO8),20
W25Q80BVAIG-WINBOND(DIP8),"2,21 € (16,65 kn)",IC(DIP8),8
W25Q64FVS1G-WINBOND(SO8),"2,65 € (19,97 kn)",IC-SMD(SO8),0
W25Q64BVSIG-WIN,"4,65 € (35,04 kn)",IC(SO8),5
W25Q32FVSIG-WINBOND,"3,08 € (23,21 kn)",IC SOP8,1
W25Q32BVSSIG-WIN,"3,84 € (28,93 kn)",IC-SMD(SO8),15
W25Q32BVSIG-WIN,"1,99 € (14,99 kn)",IC(SO8),0
W25Q16DWBYIG(WLCSP8),"1,77 € (13,34 kn)",IC,5
W25Q128FVSSIG-WIN,"4,38 € (33,00 kn)",IC(SOP8),10
W25Q128BVFG-WIN,"3,98 € (29,99 kn)",IC(SO8),4
YDA147-SZE2-YAMAHA,"14,03 € (105,71 kn)",IC-SMDTQFP48),1
YD8227,"0,00 € (0,00 kn)",IC=TA8227,0
YD8207=TA8207,"0,00 € (0,00 kn)",IC,0
YD1028(TO220-9),"8,25 € (62,16 kn)",IC-18W CAR POWER AMP.,2
XRP7675-MAXLINE,"2,65 € (19,97 kn)","IC-STEP DOWN REGULATOR IN. 4,5-18V OUT 1",0
XRA6887,"0,00 € (0,00 kn)",IC,0
XRA6459,"0,00 € (0,00 kn)",IC=BA6459FS,0
XRA6435,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XRA6430,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XR8038CP,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XR4151CP,"0,00 € (0,00 kn)",,0
XR3403,"0,00 € (0,00 kn)",INTEGRIRANI KRUG=LM324,0
XR2567CP-MBR,"7,83 € (59,00 kn)",INTEGRIRANI KRUG,2
XR2264CP-MBR,"13,21 € (99,53 kn)",IC(DIP14),1
XR2211CP-MBR,"8,49 € (63,97 kn)",IC(DIP14),10
XR2209CP-MBR,"6,78 € (51,08 kn)",IC(DIP8),3
XR2206D-SMD-EXAR,"11,29 € (85,06 kn)",IC-SMD(SOIC),12
XR2206CP-MBR,"11,29 € (85,06 kn)",IC(DIP16),6
XR2205,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XR2204CP,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XR2203CP,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XR2201,"0,00 € (0,00 kn)",IC=ULN2001,0
XR2003,"0,00 € (0,00 kn)",IC=ULN2003AN,0
XPT9911,"8,63 € (65,02 kn)",IC-12W SINGLE CH. POWER AMP. (SO16),5
XO0933,"0,00 € (0,00 kn)",IC=IX0933,0
XLS93LC66P,"0,00 € (0,00 kn)",IC=93C66,0
XL7015E1-XLSEMI(TO252-5),"4,65 € (35,04 kn)",IC,15
XL4005E1-XLSEMI(TO252-5),"4,65 € (35,04 kn)",IC,3
XFMK606001,"3,98 € (29,99 kn)",IC=MAB8441PT063+PREINAKA,1
XC94308P,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XC89504,"0,00 € (0,00 kn)",IC=ZC89504,0
XC89501P,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XC88655P,"0,00 € (0,00 kn)",IC=ZC88655P,0
XC88621P,"8,63 € (65,02 kn)",IC,3
XC88607P-MOT,"0,00 € (0,00 kn)",IC=XC86607P,0
XC86625P,"0,00 € (0,00 kn)",IC=8305686625,0
XC86625P,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XC86622P-MOT,"0,00 € (0,00 kn)",IC,0
XC86622P,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XC86621P,"0,00 € (0,00 kn)",IC=ZC86621P,0
XC86617P,"9,29 € (70,00 kn)",INTEGRIRANI KRUG,0
XC86607P-MOT,"7,23 € (54,47 kn)",INTEGRIRANI KRUG,0
XC86602P,"0,00 € (0,00 kn)",IC,0
XC86601P,"0,00 € (0,00 kn)",IC=ZC86621P,0
XC6206P142MR-TOREX,"1,14 € (8,59 kn)",IC(SOT23),10
XC6203E-TS,"2,00 € (15,07 kn)",IC LDO VOLTAGE REGULATOR 400mA (SOT89-3),0
XC411875,"0,00 € (0,00 kn)",IC=ZC411875P,0
XC410954,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XC410908,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
ZXTC2045E6-SMD,"2,65 € (19,97 kn)",IC-TR NPN+PNP DUAL BIPOLAR TR.(SOT23-6),8
ZXLD1360ET5TA-DI,"3,32 € (25,01 kn)",IC,10
ZRC250F02TA-DI(SOT23-3),"3,53 € (26,60 kn)",IC-SMD-VOLTAGE REFERENCE 2.5V 2%,15
ZN426,"0,00 € (0,00 kn)","8-BIT,TTL/CMOS",0
ZC89504,"32,52 € (245,02 kn)",IC=8305689504,0
ZC88655P,"11,95 € (90,04 kn)",IC,0
ZC88621,"0,00 € (0,00 kn)",IC=XC88654P,0
ZC86625,"0,00 € (0,00 kn)",IC,0
ZC86622,"35,77 € (269,51 kn)",IC=8305686625=XC86625,0
ZC86621P,"11,95 € (90,04 kn)",IC,0
Z84C00BB6,"5,06 € (38,12 kn)",IC(DIP48),2
Z8400AB1-ST(DIP40)-USED,"10,08 € (75,95 kn)",IC,1
VSP2860DIP-ITT,"9,29 € (70,00 kn)",INTEGRIRANI KRUG,2
VPS10,"17,52 € (132,00 kn)",IC-SIL,1
VPG101/T,"7,30 € (55,00 kn)",IC,1
VPC3210A-G10,"0,00 € (0,00 kn)",IC-SMD,0
VP3082-TI(SO8),"6,50 € (48,97 kn)",IC-SMD,16
VNQ860SP-ST,"7,30 € (55,00 kn)",IC DRIVER HIGH-SIDE 250mA 90W CH:4(SO10),2
VNQ830(SO28),"11,95 € (90,04 kn)",IC-SMD(SO28),9
VNQ810-ST,"9,42 € (70,97 kn)",IC DRIVER HIGH SIDE 3.5A 6.25W CH:4 (SO2,5
VNQ690SP-ST(SO10),"23,02 € (173,44 kn)",IC-SMD,2
VNQ660SPTR-ST(HSOP10),"13,94 € (105,03 kn)",IC POWER SWITCH 4out 6A,0
VNQ660SP-E-ST(SO10),"10,59 € (79,79 kn)",IC POWER SWITCH 4out 6A,2
VNQ5050AK-ST(SSOP24),"7,96 € (59,97 kn)",IC,5
VNQ05XSP16-ST,"8,27 € (62,31 kn)",IC,6
VNP20N07-ST,"5,42 € (40,84 kn)",IC-DRIVER;LOW-SIDE SW.;20A 50mR 83W(TO22,8
VNI4140K-ST(SSO24),"11,42 € (86,04 kn)","IC-POWER SWITCH-SIDE 700mA,CH4(POWERSSO2",5
VND830SP-ST,"10,00 € (75,35 kn)",IC-DOUB.CH.HIGH-SIDE DRV.(POW.SO10),2
VND830PEP-ST,"11,95 € (90,04 kn)",IC QUAD CH. SIDE DRIVER (SO24),10
VND830P-ST(SO16-W),"6,64 € (50,03 kn)","IC-DRIVER,HIGH-SIDE SWITCH,6A,CH2",10
VND830P-E-ST(SO16L),"6,90 € (51,99 kn)","IC-DRIVER,HIGH-SIDE SWITCH,6A,CH2",0
VND810SP-ST,"7,00 € (52,74 kn)",IC-POWER SWITCH HIGH SIDE 2out (POWER SO,11
VND810P-ST,"8,00 € (60,28 kn)",IC-POWER SWITCH HIGH SIDE 2out (SO16),14
VND810E-ST,"3,98 € (29,99 kn)",IC-POWER SWITCH HIGH SIDE 2out (SO16),2
VND600SPTR-E-ST,"7,37 € (55,53 kn)","IC-SMD-HIGH SIDE,25A,CH2(SO10)",4
VND5050AK-ST,"5,97 € (44,98 kn)",IC-HIGH SIDE DRIVER AUTOMOTIVE,11
VN920SP-E-ST,"5,02 € (37,82 kn)",IC-POWER SWITCH(POWER SO10),12
VN770K,"10,35 € (77,98 kn)",IC(SOIC-28),10
VN750PT-E-ST,"3,98 € (29,99 kn)",IC HIGH SIDE DRIVER (P2PAK),1
VN750PS-E-ST(SO8),"6,20 € (46,71 kn)",IC-SMD-POWER  SWITCH 36V 6A 60mR,0
VN5E160STR-ST,"5,31 € (40,01 kn)",IC-POWER SWITCH CH:1 10A (SO8),3
VN450-ST,"9,29 € (70,00 kn)",IC (SOP20),10
VN410-ST,"20,57 € (154,98 kn)",IC-MOSFET DRIVER(MULTIWATT-15),3
VN380SP-ST(SOP10),"6,14 € (46,26 kn)",IC-SMART SOLENOID DRIVER SOLID ST.RELAY,14
VN20N-ST,"10,87 € (81,90 kn)",IC(TO220-5),3
VN20AN-ST,"7,70 € (58,02 kn)",IC,0
VN16BSP-ST(POWERSO-10)USED,"12,77 € (96,22 kn)",IC,5
VN16B-ST(TO220-5)USED,"12,77 € (96,22 kn)",IC,5
VN06SP-ST(SO10),"7,30 € (55,00 kn)",IC-ISO HIGH SIDE SMART POWER,2
VN05N-E,"13,88 € (104,58 kn)",IC TO220 5pin,10
VN02N,"6,37 € (47,99 kn)",IC TO220-5pin.,0
VN02H-ST(TO220/5),"8,55 € (64,42 kn)",IC-HIGH SIDE SMART POWER SOLID STATE REL,5
VIPER53SP-E-ST(SMD),"5,82 € (43,85 kn)",IC-SMD(SO10),1
VIPER53DIP-ST,"4,00 € (30,14 kn)","IC-DRIVER,SPMS CONTR.2A,0-620V(DIP8)",8
VIPER50SP-ST(SO10),"5,87 € (44,23 kn)",IC-SWIT PWM SMPS POWER,8
VIPER50A-ST(TO220-5),"4,25 € (32,02 kn)","IC-DRIVER,SMPS CONTROLLER 1,5A 700V",9
VIPER28LN-ST(DIP8),"3,32 € (25,01 kn)",IC-AC/DC CONVERTERS,8
VIPER27LN,"3,05 € (22,98 kn)",IC(DIP7),5
VIPER27H-ST(SO16),"3,05 € (22,98 kn)",IC-SMD,3
VIPER26LD-ST,"3,32 € (25,01 kn)",IC-SMD-SMPS CONTROLLER(SO16),0
VIPER22ADIP-E-ST(MALAYSIA),"1,99 € (14,99 kn)",IC-LOW PWR SMPS CTRL 20W(DIP8),39
VIPER20ASP-ST,"5,97 € (44,98 kn)",IC-SMPS AC/DC 700V 0.4A (POWERSO-10),6
VIPER20A-ST(TO220),"3,85 € (29,01 kn)",IC-SMPS CTRL 700V 0.4A 57W,4
VIPER20A(DIP8),"3,85 € (29,01 kn)","SMPS CTRL 700V 0,4A 57W",4
VIPER17LN-ST,"3,59 € (27,05 kn)",IC-DC-DC CONVERTER(DIP7),8
VIPER17LD-ST(SOP16),"2,65 € (19,97 kn)",IC-SMD-AC/DC CONVERTER,3
VIPER17HD-ST,"3,98 € (29,99 kn)",IC-SMD-AC/DC CONVERTER(SO16),6
VIPER16LN-ST,"2,79 € (21,02 kn)",IC-PWM CONTROLLER(DIP7),39
VIPER16LD-ST(SO16),"4,34 € (32,70 kn)",IC-SMD-PWM CONTR 60kHz  800V 2.5A,7
VIPER16L-ST(SO16),"3,92 € (29,54 kn)",IC-SMD(SO16),0
VIPER16HN-ST,"3,32 € (25,01 kn)",IC(DIP7),14
VIPER12AS-E-ST(SO8),"1,46 € (11,00 kn)","IC-SMD-SMPS CONTROLLER 100uA,0-730V(SO8)",0
VIPER12A-ST,"1,85 € (13,94 kn)","IC-AC/DC SWITCHER,SMPS CONTR 13W=VIPER22",9
VIPER100ASP-E-ST,"6,31 € (47,54 kn)",IC-POWERSO-10TM,22
VIPER100A-ST,"5,00 € (37,67 kn)","IC-DRIVER,SMP CONTROLLER(TO220-5)",10
VIPER100-ST,"4,21 € (31,72 kn)","IC-DRIVER,SMPS CONT. 3A,0-600V(PENTAWAT)",0
VIPER06HS-ST(SSO10),"2,65 € (19,97 kn)",IC-SMD-AC/DC Converters,0
VIPER013HS-ST,"5,00 € (37,67 kn)",IC-AC/DC CONVERTER 4.5V-30V (SSOP10),4
VFC32KP-TI(DIP14),"27,62 € (208,10 kn)",IC-CONVERTER 11-20VDC 20mA,0
VDP3112BPPC2,"38,49 € (290,00 kn)",IC ORIGINAL PANASONIC,0
VDP3108B-ITT,"26,41 € (198,99 kn)",IC.3108B-C3,0
VCU2136ADIP-IT,"19,64 € (147,98 kn)",INTEGRIRANI KRUG,0
VCU2136A-ITT,"16,59 € (125,00 kn)",IC,0
VCU2136-SMD,"17,05 € (128,46 kn)",IC=VCU2133 ALI NE RADI SCART,0
VCU2133APLC-IT,"9,28 € (69,92 kn)",INTEGRIRANI KRUG-SMD,0
VCU2133ADIP-IT,"7,37 € (55,53 kn)",IC-DIL-HIGH SPEED (DE)CODER 40p,0
VCU2133A-ITT,"12,58 € (94,78 kn)",INTEGRIRANI KRUG HIGH SPEED,0
VCU2100-ITT,"16,59 € (125,00 kn)",INTEGRIRANI KRUG,0
VAD2150-ITT,"2,90 € (21,85 kn)",INTEGRIRANI KRUG,4
UTC3596-ADJ,"0,00 € (0,00 kn)",IC=LM2576T-ADJ(TO220-5),0
UTC2822M,"0,00 € (0,00 kn)",IC=TDA2822M=L272M,0
UTC2030,"0,00 € (0,00 kn)",TDA2030AV-ST,0
UTC2025,"0,00 € (0,00 kn)",IC=TEA2025B-ST,0
UTC1379,"0,00 € (0,00 kn)",IC=UPC1379,0
UT6264PC-70LL,"0,00 € (0,00 kn)",IC,0
USBN9604-28M-NSC,"10,29 € (77,53 kn)",IC-USB INTERFACE(SO28),8
UPD7556CS-NEC,"14,60 € (110,00 kn)",IC-4BIT SINGLE CMOS MICROCOMP. (DIP24),1
UPD75216ACWA75,"21,24 € (160,03 kn)",INTEGRIRANI KRUG,0
UPD75208CW139-NEC,"21,24 € (160,03 kn)",INTEGRIRANI KRUG,0
UPD7519G090-NEC,"21,24 € (160,03 kn)",INTEGRIRANI KRUG,0
UPD75106CW126,"34,51 € (260,02 kn)",INTEGRIRANI KRUG,0
UPD7507C060-NEC,"10,62 € (80,02 kn)",INTEGRIRANI KRUG,0
UPD6251C-NEC,"29,20 € (220,01 kn)",IC,0
UPD552C088-NEC,"21,24 € (160,03 kn)",INTEGRIRANI KRUG,1
UPD546C166-NEC,"10,62 € (80,02 kn)",INTEGRIRANI KRUG,0
UPD1986C-NEC,"3,65 € (27,50 kn)",INTEGRIRANI KRUG,0
UPD1937C-NEC,"3,84 € (28,93 kn)",,1
UPC844G-NEC(SO14),"3,98 € (29,99 kn)",IC-SMD-OPERATIONAL  AMPLIFIERS,4
UPC575C2-NEC,"1,04 € (7,84 kn)",2.0W POWER AMPLIFIER 8p,0
UPC574J-NEC,"1,06 € (7,99 kn)",REF-DIODE 33V FOR TUNER,8
UPC494C,"0,00 € (0,00 kn)",INTEGRIRANI KRUG=TL494C,0
UPC4742G-NEC(SO8),"11,50 € (86,65 kn)",IC-SMD- DUAL OPERATIONAL AMP.,5
UPC4570HA-NEC,"1,59 € (11,98 kn)",IC(SIL),1
UPC4560G-NEC,"0,00 € (0,00 kn)",IC=NJM4560M,0
UPC4558,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
UPC4557C-NEC,"0,90 € (6,78 kn)",INTEGRIRANI KRUG,9
UPC451,"0,00 € (0,00 kn)",IC=LM224=LM324,0
UPC358,"0,00 € (0,00 kn)",IC=LM358N,0
UPC324,"0,00 € (0,00 kn)",IC=LM324,0
UPC2581V-NEC,"14,60 € (110,00 kn)",IC,10
UPC251C-NEC,"3,32 € (25,01 kn)",IC-DUAL OP AMP. (DIP8),3
UPC2500AH-NEC,"6,11 € (46,04 kn)",INTEGRIRANI KRUG,2
UPC2003,"0,00 € (0,00 kn)",,0
UPC2002,"0,00 € (0,00 kn)",IC,0
UPC1892CT-NEC,"4,65 € (35,04 kn)",INTEGRIRANI KRUG,2
UPC1571,"0,00 € (0,00 kn)",IC=NE571N,0
UPC1536,"11,55 € (87,02 kn)",INTEGRIRANI KRUG,1
UPC1534,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
UPC1533HA-NEC,"1,72 € (12,96 kn)",INTEGRIRANI KRUG,5
UPC1525-NEC,"5,57 € (41,97 kn)",IC,2
UPC1520CA-NEC,"2,99 € (22,53 kn)",INTEGRIRANI KRUG,5
UPC1514CA-NEC,"3,80 € (28,63 kn)",INTEGRIRANI KRUG,2
UPC1513HA-NEC,"0,97 € (7,31 kn)",INTEGRIRANI KRUG,5
UPC1505C-NEC,"7,13 € (53,72 kn)",INTEGRIRANI KRUG,2
UPC1498H-NEC,"3,85 € (29,01 kn)",INTEGRIRANI KRUG,4
UPC1490HA-NEC,"1,06 € (7,99 kn)",INTEGRIRANI KRUG,23
UPC1490,"2,25 € (16,95 kn)",INTEGRIRANI KRUG,0
UPC1488H-NEC,"6,64 € (50,03 kn)",IC,5
UPC1484CA-NEC,"2,39 € (18,01 kn)",INTEGRIRANI KRUG,8
UPC1470H-NEC,"0,93 € (7,01 kn)",MOTOR SPEED REGULATOR,3
UPC1458C-NEC,"1,59 € (11,98 kn)",IC,10
UPC1421CA-NEC,"16,50 € (124,32 kn)",INTEGRIRANI KRUG,1
UPC1406HA-NEC,"1,19 € (8,97 kn)",INTEGRIRANI KRUG,2
UPC1403CA,"17,60 € (132,61 kn)",INTEGRIRANI KRUG,0
UPC1397C-NEC,"3,85 € (29,01 kn)",INTEGRIRANI KRUG,4
UPC1394C-NEC,"2,12 € (15,97 kn)",INTEGRIRANI KRUG,3
UPC1391HA-NEC,"1,17 € (8,82 kn)",IC-SOUND IF PROCESSOR 8p,5
UPC1382C,"2,85 € (21,47 kn)",INTEGRIRANI KRUG,0
UPC1379C-NEC,"2,06 € (15,52 kn)",INTEGRIRANI KRUG,5
UPC1378H-NEC,"4,38 € (33,00 kn)",INTEGRIRANI KRUG,3
UPC1377C-NEC,"3,45 € (25,99 kn)",IC-HORIZONTAL/VERTICAL DEFL.,3
UPC1377,"4,28 € (32,25 kn)",INTEGRIRANI KRUG,0
UPC1373HA-NEC,"0,82 € (6,18 kn)",INTEGRIRANI KRUG,3
UPC1366C-NEC,"1,13 € (8,51 kn)",IC-VIDEO IF PROCESSOR 14p,1
UPC1365C-NEC,"9,95 € (74,97 kn)",INTEGRIRANI KRUG,4
UPC1364C2-NEC,"3,19 € (24,04 kn)",CHROMINANCE PROCESSOR,10
UPC1363CA-NEC,"2,26 € (17,03 kn)",INTEGRIRANI KRUG,8
UPC1350C-NEC,"2,26 € (17,03 kn)",IC-PREAMP. + ALC 14p,1
UPC1342V-NEC,"6,10 € (45,96 kn)",IC,3
UPC1335V-NEC,"7,83 € (59,00 kn)",INTEGRIRANI KRUG,5
UPC1330HA-NEC,"0,73 € (5,50 kn)",IC REC/PB AUDIO HEAD SWITCH,1
UPC1320,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
UPC1318AV-NEC,"7,83 € (59,00 kn)",INTEGRIRANI KRUG,3
UPC1316C-NEC,"2,26 € (17,03 kn)",IC-ORIGINAL PRODUCT,0
UPC1313HA-NEC,"1,31 € (9,87 kn)",IC,9
UPC1310V-NEC,"6,60 € (49,73 kn)",INTEGRIRANI KRUG,5
UPC1298V-NEC,"16,59 € (125,00 kn)",IC(SQL14),10
UPC1297CA-NEC,"4,65 € (35,04 kn)",INTEGRIRANI KRUG,2
UPC1288V-NEC,"4,78 € (36,01 kn)",INTEGRIRANI KRUG,7
UPC1278H-NEC,"7,83 € (59,00 kn)",INTEGRIRANI KRUG,8
UPC1277H-NEC,"7,82 € (58,92 kn)",INTEGRIRANI KRUG,11
UPC1277,"4,28 € (32,25 kn)",INTEGRIRANI KRUG,0
UPC1270H-NEC,"6,00 € (45,21 kn)",IC-BIPOLAR ANALOG=UPC1225H,11
UPC1263,"2,39 € (18,01 kn)",INTEGRIRANI KRUG,1
UPC1255H-NEC,"5,97 € (44,98 kn)",INTEGRIRANI KRUG,0
UPC1251,"0,00 € (0,00 kn)",IC,0
UPC1242H-NEC,"11,68 € (88,00 kn)",IC,1
UPC1241H-NEC(ZIP8),"5,31 € (40,01 kn)",IC,3
UPC1238V-NEC,"0,00 € (0,00 kn)",IC=TDA2006,0
UPC1237HA-NEC,"5,18 € (39,03 kn)",IC,13
UPC1235C-NEC,"3,27 € (24,64 kn)",INTEGRIRANI KRUG,0
UPC1230H2-NEC,"9,81 € (73,91 kn)",INTEGRIRANI KRUG,4
UPC1228HA-NEC,"1,06 € (7,99 kn)",INTEGRIRANI KRUG,4
UPC1228,"1,90 € (14,32 kn)",INTEGRIRANI KRUG,0
UPC1225H-NEC,"6,64 € (50,03 kn)",IC(SIL12),10
UPC1213C-NEC,"2,26 € (17,03 kn)",INTEGRIRANI KRUG,1
UPC1188,"5,11 € (38,50 kn)",IC,2
UPC1185H-NEC,"5,18 € (39,03 kn)",INTEGRIRANI KRUG,9
UPC1182H-NEC,"3,29 € (24,79 kn)",INTEGRIRANI KRUG,0
UPC1181H-NEC,"3,14 € (23,66 kn)",IC=UPC1182H*KONTRA PINING,0
UPC1181,"4,05 € (30,51 kn)",INTEGRIRANI KRUG,0
UPC1165-OKI,"4,65 € (35,04 kn)",INTEGRIRANI KRUG,2
UPC1161C-NEC,"2,08 € (15,67 kn)",IC,4
UPC1158HA-NEC,"1,99 € (14,99 kn)",IC*RECORDER ALC 7p,3
UPC1094C/NEC,"3,19 € (24,04 kn)",INTEGRIRANI KRUG,0
UPC1094C-NEC,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
UPC1093J-NEC,"0,80 € (6,03 kn)",IC-ADJUSTABLE SHUNT REGULATOR,0
UPC1043C-NEC,"6,30 € (47,47 kn)",IC (DIP-16),5
UPC1042,"4,07 € (30,67 kn)",INTEGRIRANI KRUG,0
UPC1032,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
UPC1031H-NEC,"1,79 € (13,49 kn)",INTEGRIRANI KRUG,0
UPC1028,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
UPC1025H-NEC,"2,65 € (19,97 kn)",INTEGRIRANI KRUG,2
UPC1018C-NEC,"2,92 € (22,00 kn)",IC,10
UPA81C,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
UPA68HA-NEC,"6,78 € (51,08 kn)",IC(ZIP7),6
UPA63H-NEC,"8,49 € (63,97 kn)",INTEGRIRANI KRUG,0
UPA2790GR-3SA-AT-NEC,"3,35 € (25,24 kn)",IC-SMD(SO8),18
UPA2003,"0,00 € (0,00 kn)",IC=ULN2003A,0
UPA1556AH-NEC,"10,29 € (77,53 kn)",IC,1
UP801S,"0,00 € (0,00 kn)",IC(SO8),0
UMC4N-7DIO8(SOT353-5),"1,99 € (14,99 kn)",IC-NPN/PNP TRANZISTOR,0
UM7106R,"0,00 € (0,00 kn)",IC-ADC,0
UM66T19,"0,33 € (2,49 kn)",IC,0
UM3758-120A,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
UM3481A,"5,19 € (39,10 kn)",IC(DIP16),5
ULY7741,"0,00 € (0,00 kn)",IC(DIP8),0
ULY741,"0,51 € (3,84 kn)",IC(DIP8),0
ULV7741,"0,00 € (0,00 kn)",IC(DIP8),0
ULN3862A,"0,00 € (0,00 kn)",IC=MC3861B,0
ULN3718M-MBR,"2,26 € (17,03 kn)",IC(DIP8),2
ULN2805A-ST,"4,44 € (33,45 kn)",IC-EIGHT DARL.ARRAYS(DIP18),4
ULN2804G-UTC(SO18),"2,65 € (19,97 kn)","IC-SMD-DRIVER,DARLINGTON 50V 500mA",6
ULN2804A-TOS,"1,46 € (11,00 kn)","IC-DRIVER,DARLINGTON 50V 500mA(DIP18)",9
ULN2804A-ST,"1,33 € (10,02 kn)","IC-DRIVER,DARLINGTON 50V 500mA(DIP18)",15
ULN2803LW-ALLEGRO(SO18),"2,52 € (18,99 kn)",IC-SMD,7
ULN2803AFW-TOS(SOP18),"1,99 € (14,99 kn)",IC-SMD,11
ULN2803ADWR-SMD,"1,05 € (7,91 kn)",IC DRIVER DARLING. 500mA 50V CH:8 (SOL18,0
ULN2803A-TOS,"0,77 € (5,80 kn)","IC DRIVE DARLINGTON 500mA 50V,ch8(DIP18",0
ULN2803A-ST/TOS(DIP18),"3,72 € (28,03 kn)","IC DRIVE DARLINGTON 500mA 50V,ch8",0
ULN2802A,"1,11 € (8,36 kn)",IC(DIP18),5
ULN2801A-MBR,"1,06 € (7,99 kn)",IC-8xN-DR. 50V 0.5A TTL-INP(DIP18),3
ULN2204,"0,00 € (0,00 kn)",INTEGRIRANI KRUG=TDA1083,0
ULN2069B-ST,"11,68 € (88,00 kn)","ICDRIVER DARLINGTON 1,5A 50V(DIP16)",5
ULN2068B-ST(MALAYSIA),"4,02 € (30,29 kn)","IC 4X DARL SWITCH 50V 1,5A (DIP16)",0
ULN2068B-ALLEGRO,"4,02 € (30,29 kn)",IC-4xN-DARL 50V 1.5A TTL INP,0
ULN2066B-ST,"3,58 € (26,97 kn)","IC-DRIVER DARLINGTON 1,5A,50VCH4(DIP16)",2
ULN2065-ALLEGRO(DIP16(,"6,50 € (48,97 kn)",IC-80 V - 1.5 A QUAD DARLINGTON SWITCHES,5
ULN2064B-MBR,"2,54 € (19,14 kn)",INTEGRIRANI KRUG,1
ULN2004D-ST(SO16),"0,80 € (6,03 kn)",IC-SMD-DRIVER DARL.ARRAY0.5A 50V CH7,13
ULN2004AD-SMD,"0,66 € (4,97 kn)",IC-DRIVER DARL.50V 500mA(SO16),0
ULN2004A-ST(DIP16),"0,80 € (6,03 kn)","IC-DRIVER,TRANSISTOR ARRAY 50V 0.5A",11
ULN2003D-SMD-TI(SO16),"0,80 € (6,03 kn)","IC-DRIVER,DARLINGTON 50V 0,5A(SO16)",0
ULN2003APW-TI(TSS0P16),"0,58 € (4,37 kn)","IC-SMD-7xDarl-Dr. 50V 0,5A TTL/CMOS",10
ULN2003AN-TEX,"0,58 € (4,37 kn)",IC DARLING. TRANS.(DIP16),0
ULN2003AD-TI(SO16),"0,93 € (7,01 kn)",IC-SMD-7XDARL-DR.50V 0.5A TTL(SO16),25
ULN2003A-ST(DIP16),"0,93 € (7,01 kn)","IC-7XDARL-DR.50V 0,5A TTL/CMOS(DIP16)",8
ULN2003-TI,"0,93 € (7,01 kn)","IC(DIP16)7XDARL-DR.50V 0,5A TTL/CMOS",13
ULN2002AN-MBR,"0,65 € (4,90 kn)",IC-7xN-DR. 50V 0.5A 14-25V,5
ULN2001AN-MBR,"0,56 € (4,22 kn)",IC,5
UL1498,"0,00 € (0,00 kn)",IC=TBA820,0
UL1497,"0,00 € (0,00 kn)",IC=TBA790T,0
UL1482,"0,00 € (0,00 kn)",IC=TBA820P,0
UL1481,"0,00 € (0,00 kn)",IC=TBA810,0
UHR30184,"0,00 € (0,00 kn)",IC,0
UDN2987LW-6-ALGR(SOL20),"39,82 € (300,02 kn)","IC-SMD-8XDR. 35V 0,5A OVER-CURR PROT",9
UDN2987A-ALLEGRO(DIP20),"39,82 € (300,02 kn)",IC-DIP-OCTAL PERIPHERAL DRIVER(DIP20),2
UDN2987-ALLEGRO,"24,45 € (184,22 kn)",IC-OCTAL PERIPHERAL DRIVER(DIP20),0
UDN2984A,"9,67 € (72,86 kn)",8-CHANNEL SOURCE DRIVER,2
UDN2983A-MBR,"5,97 € (44,98 kn)",IC-8-Channl Source Driver8(DIP18),1
UDN2982SLW-ALLEGRO(SO20-W),"4,78 € (36,01 kn)",IC-SMD-DRIVER,3
UDN2982A-MIT(DIP16),"9,95 € (74,97 kn)",IC,0
UDN2981A,"7,30 € (55,00 kn)","IC-DRIVER,LED,RELAY(DIP18)",10
UDN2916B,"7,16 € (53,95 kn)",IC-FULL BRIDGE DUAL(DIP24),11
