Part Number, Price, Package, Qty
TLP621,"0,00 € (0,00 kn)",OPTO COUPLER,0
TLP534,"0,00 € (0,00 kn)",,0
TLP3063,"1,59 € (11,98 kn)",OPTO TRIAC COUPLER 5000V Ibs=5mA,0
TLP3062,"1,73 € (13,03 kn)",OPTO TRIAC COUPLER=MOC3062,0
TLP3061,"1,39 € (10,47 kn)",OPTO TRIAC COUPLER 15mA,0
TLP3043,"1,99 € (14,99 kn)",OPTO-TRIAC DR. 400V 5mA Z,0
TLP3042-TOS,"2,07 € (15,60 kn)",OPTOCOUPLER 5000V Ibs:10mA DIP6,18
TLP3041,"0,00 € (0,00 kn)",IC=TLP3061,0
TLP2531-TOS(JAPAN),"2,39 € (18,01 kn)","IC-OPTOCOUPLER 2,5kV 2MBd (DIP8)",0
TLP251,"2,51 € (18,91 kn)",Optocoupler; THT; Out: IGBT driver; 2.5k,3
TLP250-TOS,"3,00 € (22,60 kn)","OPTOCOUPLER 2.5kV MOSFET 1,5A (DIP8)",25
TLP2200-TOS(JAPAN),"2,72 € (20,49 kn)","IC-OPTOCOUPLER 2,5kV 2,5MBd (DIP8)",9
TLP181-TOS,"1,06 € (7,99 kn)",OPTOCOUPLER;SMD;CH:1;OUT:TRANS.,2
TLP112-TOS(SMD),"3,38 € (25,47 kn)",OPTO C.LED/PD+NPN Uiso=2500V CTR>20%,3
TLE7263E-INF(SO8),"6,50 € (48,97 kn)",IC-SMD INTERFACE SPECIALIZED DSO-36,2
TLE6251G-INF(SO14),"4,04 € (30,44 kn)",IC-SMD-HIGH SPEED CAN-TRANSCRIVER,10
TLE6251-2G-INF,"5,97 € (44,98 kn)",IC CAN INTERFACE TRANSCEIVER (SO14),6
TLE6250G-INF(SO8),"5,65 € (42,57 kn)",IC-SMD-INTERFACE-TRANSCEIVER(PG-DSO-8),10
TLE6220GP-INF,"11,28 € (84,99 kn)","IC-SMD-MOTOR CONTROLLERS,DRIVERS",0
TLE6208-3-INF(SO8),"7,30 € (55,00 kn)","IC-SMD-MOTOR CONTROLLERS,DRIVERS",6
TLE5012B,"4,78 € (36,01 kn)",IC,10
TLE4935L-INF,"3,70 € (27,88 kn)",IC HALL SENSOR (P-SSO-3-2) -20+20mT,1
TLE4906L-INF,"5,81 € (43,78 kn)",HALL SENSOR RANGE 150G 2.7-18V 20mA,2
TLE4905L-INF,"3,32 € (25,01 kn)",HALL SENSOR 12V 100mA (SSO-3)I,0
TLE4291-INF,"2,65 € (19,97 kn)",IC-LOW DROP OUT LIN. VOL. REG. (SSOP14),4
TLE4278G-SMD-INF,"3,29 € (24,79 kn)",IC-SMD-VOLTAGE REG.,26
TLE4275GT-IR(TO263-5),"9,03 € (68,04 kn)",IC-SMD-VOLTAGE REGULATOR 5V 700mA,8
TLE4271-2G-(SMD)-INF,"6,49 € (48,90 kn)",IC-REGULATOR NAPONA 5V 600mA (TO263-7),3
TLE4271-2-INF(TO220),"6,49 € (48,90 kn)",IC-REGULATOR NAPONA 5V 600mA (TO220-7),0
TLE4269GM-INF(SO14),"2,65 € (19,97 kn)",IC-SMD-5V Lov-Drop FIXED VOLTAGE REG.,10
TLE4269G,"3,43 € (25,84 kn)",IC(SO8),13
TLE4261GM-IRF(SO14),"0,00 € (0,00 kn)","IC-SMD-VOLT REG.LDO,LINEAR,FIXED 5V 0.1A",0
TLE4251D-INF,"2,90 € (21,85 kn)",IC-LOW TROP VOLTAGE TRACKER(TO252-5),7
TLE4242GA-INF,"4,51 € (33,98 kn)",IC-LED DRIVER 500mA TO 42V (TO263-7),0
TLE4242-INF,"5,97 € (44,98 kn)",IC-LED DRIVER+RELAY (SO8),3
TLE4205G,"7,83 € (59,00 kn)",IC-SMD MOTOR DRIVER PDS020-ROHS,6
TLE4205,"12,32 € (92,83 kn)",IC-PDIP18,1
TLE4201A1-SIE,"7,44 € (56,06 kn)",IC-(DIL-18),3
TLE2426ILP-TI(TO92),"4,65 € (35,04 kn)",IC-virtual ground circuit; 2V; ±1%; 80mA,2
TLE2426CD-TI(SO8),"5,00 € (37,67 kn)",IC,5
TLE2141CD-SMD-TI,"2,24 € (16,88 kn)",IC-SMD(SO8),3
TLE2141/IP-TI(DIP8),"5,64 € (42,49 kn)",IC-PRECISION AMP.LOW NOICE,10
TLC7528CN-TI,"15,08 € (113,62 kn)",IC-D/A CONVERTER DUAL 8BIT (DIP20),0
TLC7524,"0,00 € (0,00 kn)",IC,0
TLC5927IDBQR-TI,"0,00 € (0,00 kn)",IC-LED DRIVER 16B 3-5.5V 20mA,0
TLC5925IDWR,"4,71 € (35,49 kn)",IC LED DRIVER(SO24),2
TLC556,"0,00 € (0,00 kn)",IC,0
TLC555C,"0,00 € (0,00 kn)",IC,0
TLC549CP-TI,"3,58 € (26,97 kn)",IC-ADC 8-B 25us + S&H,0
TLC386T,"9,50 € (71,58 kn)",IC,10
TLC374CN-TI,"1,65 € (12,43 kn)",IC COMP. DIFFERENTIAL 200ns (DIP14),5
TLC3702SD-SMD,"1,33 € (10,02 kn)",IC,60
TLC279-SMD,"0,00 € (0,00 kn)",IC-QUAD OPERATIONAL AMPLIFIER(SO14),0
TLC274CN-TI,"2,65 € (19,97 kn)",IC 4xOp-Amp CMOS 3..16V LP LN(DIP14),9
TLC274CD-ST(SO14),"1,80 € (13,56 kn)",IC-SMD-4xOp-Amp CMOS 3..16V LP LN,13
TLC272CP-TI,"1,99 € (14,99 kn)","IC-OPER.AMP.1.3MHz,3-16VDC,CH2,(DIP8)",16
TLC272CD-SMD-TI,"2,92 € (22,00 kn)","C-OPER. AMPLI.1.3mH,3-16VDC,CH:2(SO8)",15
TLC271CP-MBR,"1,99 € (14,99 kn)",INTEGRIRANI KRUG,23
TLC271CD-TI,"1,13 € (8,51 kn)",IC-OPERATIONAL AMPLIFIER (SO8),5
TLC2274ACD-TI,"5,04 € (37,97 kn)",IC-OpAmp 2.18MHz 4.4-16V (SO14),8
TLC2272IDR-TI,"1,23 € (9,27 kn)",IC OpAmp 2.25MHz 4.4:16V CH:2 (SO8),1
TLC2272CP-TI,"3,45 € (25,99 kn)",IC-OPERATIONAL AMPLIFIER(DIP8),7
TLC2272ACD-TI,"3,45 € (25,99 kn)",IC-OPERATIONAL AMPLIFIER(SO8),3
TLC2264C,"4,48 € (33,75 kn)",IC-SMD,0
TLC1543CN,"7,90 € (59,52 kn)","IC AC/DC CONVERTER,CH11(DIP20)",1
TL783C-TI(TO220),"4,50 € (33,91 kn)",IC-AP V-REG 1.25-125V 0.7A,10
TL7715ACP-MBR,"1,10 € (8,29 kn)",IC-V-SUPPLY SUPERVISER 15V,10
TL7712ACP,"1,59 € (11,98 kn)",IC-V-SUPPLY SUPERVISER 12V,8
TL7709ACP,"1,59 € (11,98 kn)",IC-V-SUPPLY SUPERVISER 9V,9
TL7705AID-SMD-TI,"1,13 € (8,51 kn)","IC-SUPERVISIOR,ACTIVE-HIGH (SO8)",6
TL7705ACP-TI(DIP8),"1,99 € (14,99 kn)",IC-V-SUPPLY SUPERVISER 5V(DIP8),5
TL7705ACD-SMD-TI(SO8),"0,73 € (5,50 kn)",IC-V-SUPPLY SUPERVISER 5V(SO8),0
TL7702AID-TI(SO8),"2,39 € (18,01 kn)",IC-SMD-V-SUPPLY SUPERVISER 2V,5
TL7702ACP-TI(DIP8),"2,12 € (15,97 kn)",IC-V-SUPPLY SUPERVISER 2V,34
TL710CP-TI,"4,09 € (30,82 kn)",INTEGRIRANI KRUG,0
TL598CN-TI,"5,93 € (44,68 kn)",IC-PWM CONTROLLER,12
TL594CD-TI-SMD,"2,97 € (22,38 kn)","IC-DRIVER,PWM CONT.200mA,1-40V(SO16)",2
TL594,"2,44 € (18,38 kn)",IC-DIL,3
TL592P,"0,00 € (0,00 kn)",IC,0
TL5001CP-TI,"4,25 € (32,02 kn)",IC SWITCHING CONTROLLER (DIP8),5
TL497ACN-MBR,"2,72 € (20,49 kn)",IC*SW-REG 35V 0.5A,1
TL494CN-TI,"1,06 € (7,99 kn)","IC-DC-DC CONVERTER,PWM CONT.(DIP16)",61
TL494CD-TI(SO16),"1,13 € (8,51 kn)","IC-SMD-DC-DC CONVERTER,PWM CONT(SO16)",14
TL489,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
TL4558,"0,00 € (0,00 kn)",IC,0
TL432AIDBVR,"1,59 € (11,98 kn)",IC REG. ADJ.  +2.5/36V(SOT23),5
TL431CP-DIL-MBR,"0,53 € (3,99 kn)","IC-( DIP8)-PINV-REG 2,5-36V 1-100m",11
TL431CLP-TI,"0,40 € (3,01 kn)","IC-v reg 2,5-36v 1-100mA-KA4(TO92)",38
TL431CD-ST(SO8),"0,66 € (4,97 kn)","IC-SMD-U-SHUNT-REG 2,495-36V",22
TL431BCD-SMD,"0,60 € (4,52 kn)",IC-SMD(SOIC8),0
TL431AIDBZR(SOT23)-TI,"0,66 € (4,97 kn)",IC-VOLTAGE REFERENCE SOURCE(2.495-3.6V),0
TL3845D-TI(SO14),"2,39 € (18,01 kn)",IC-SMD-PWM CONTROLL.30V 0.2A,17
TL3845BDR-TI(SO8),"3,69 € (27,80 kn)",IC-SMD(SO8),13
TL3844,"0,00 € (0,00 kn)","IC-VOLTAGE STAB.ADJUSTABLE(DIP8),",0
TL331CP-TI,"9,16 € (69,02 kn)",INTEGRIRANI KRUG,1
TL2844P-TI,"2,92 € (22,00 kn)",IC CURRENT MODE PWM(DIP8),5
TL2844DR-14-TI,"3,32 € (25,01 kn)",IC-SMD-CURRENT MODE PWM(SO14),1
TL2844D-8-TI,"1,99 € (14,99 kn)",IC-SMD-CURRENT MODE PWM(SO8),4
TL2843DR-8-TI(SOIC8),"2,65 € (19,97 kn)",IC,4
TL2843BDR-TI(SO8),"0,00 € (0,00 kn)",IC-SMD,0
TL2575-TI(TO263-5),"5,97 € (44,98 kn)",IC-STEP DOWN VOL. REG. 60V 1A SMD,10
TL103WIDR-TI(SO8),"1,68 € (12,66 kn)",IC-SMD-Operational Amplifiers,10
TL103WA-TI,"4,56 € (34,36 kn)",IC-OpAmp 32V 40mA 2CH(SO8),8
TL084CN-TI,"1,20 € (9,04 kn)",IC-4XOP.AMP JFET 18V 13V/uS(DIP14),19
TL084CD-SMD-TI,"0,91 € (6,86 kn)",IC-SMD-OPERATIONAL AMP.3MHz(SO14),10
TL082CP-TI(MEXICO),"2,18 € (16,43 kn)","IC-OPERAT.AMP.3MHz,7-36V,CH2(DIP8)",18
TL082CN-ST,"0,80 € (6,03 kn)",IC-JFET DUAL OP-AMP(DIP8),0
TL082CD-SMD-ST(MOROCCO),"0,33 € (2,49 kn)","IC-OPERAT.AMP.3MHz,7-36V,CH2(SO8)",39
TL081CP-TI/ST,"2,26 € (17,03 kn)",IC-OpAmp 3MHz 7:36VDC CH:1(DIP8),31
TL081CD-TI,"1,06 € (7,99 kn)",IC OpAmp 3MHz 15:15V (SO8),30
TL080CP-TI,"2,26 € (17,03 kn)",IC-OPERATIONAL AMP.3MHz(DIP8),2
TL074CN-ST/TI(DIP14),"0,80 € (6,03 kn)",IC=OPERATION AMP.3MHz,11
TL074CD-SMD-ST(MAROCCO),"0,58 € (4,37 kn)",IC(SO14)4OP-AMPJFET+-18V LN 13V/us,135
TL072IP-TEX,"1,33 € (10,02 kn)","IC-OPERATION.AMP 3MHz,7-36V,CH.2(DIP8)",1
TL072CP-TI,"1,06 € (7,99 kn)",IC-JFET-INPUT OPERATIONAL AMP.(DIP8),42
TL072CD-TI-SMD,"0,80 € (6,03 kn)",IC-JFET-INPUT OPERATIONAL AMP.(SO8),14
TL071CP-TI,"0,80 € (6,03 kn)","IC-OPERATIONAL AMPLIFIER 3MHz,7-36v(dip8",8
TL071CD-MBR,"1,06 € (7,99 kn)",IC-SMD-1xOPAMP 5-18V 4MHz LOW-NO,26
TL064CN/DIV,"0,89 € (6,71 kn)",IC,0
TL064CN-MBR,"1,33 € (10,02 kn)",INTEGRIRANI KRUG,5
TL062IP-TI,"0,65 € (4,90 kn)",IC(DIP8)OP.AMP.1MHz; 7:36VDC CH:2,1
TL062CN-MBR,"1,06 € (7,99 kn)",IC-DUAL LOW POWER OPAMP(DIP8),7
TL062CD-ST(SO8),"0,80 € (6,03 kn)",IC OPERATIONAL AMPLIFIER(SO8),23
TL061CP-ST,"1,06 € (7,99 kn)",IC(DIP8),22
TL061ACP-TI,"0,82 € (6,18 kn)",IC-SINGLE LOW POWER OPAMP(DIP8),11
TL052CDE4-TI(SO8),"0,00 € (0,00 kn)",IC,0
TL034,"0,00 € (0,00 kn)",IC,0
TK100E08N1-TOS(TO220),"3,64 € (27,43 kn)",IC SWITCHING REG.,12
TJA1055T-NXP,"5,50 € (41,44 kn)",IC-INTERFACE TRANSCIEVER 4.75-5.25V (SO1,7
TJA1054T-NXP(SO14),"5,50 € (41,44 kn)",IC=TJA1054AT,10
TJA1051T-NXP,"11,28 € (84,99 kn)",IC-HIGH SPEED CAN TRANSCIVER (SO8),11
TJA1050T/CM-NXP,"4,65 € (35,04 kn)","IC-INRERFECE,CH1,TR,ANSCIVER(SO8)",13
TJA1042T-NXP(SO8),"5,97 € (44,98 kn)",IC-interface; transceiver; 5Mbps; 4.5÷5.,8
TJA1041T-NXP(SO14),"5,31 € (40,01 kn)",IC-SMD=TDA1041AT,2
TJA1040T-NXP(SO8),"3,97 € (29,91 kn)",IC-SMD-IC: interface; transceiver; 1Mbps,2
TJA1020TN-SMD,"2,37 € (17,86 kn)",IC-SMD(SO8),6
TJA1020-NXP,"2,65 € (19,97 kn)",IC-SMD-LIN TRANSCIVER(S08),3
TIND315S-SAN,"0,00 € (0,00 kn)",IC(SO8),0
TIL117,"0,00 € (0,00 kn)",OPTOCOUPLER,0
THX206H,"5,97 € (44,98 kn)",IC(DIP7),4
THX206,"3,32 € (25,01 kn)",IC (DIP7),8
THX203H(DIP8),"2,65 € (19,97 kn)",IC(DIP8),4
THX202H,"2,65 € (19,97 kn)",IC=THX203,4
THX201,"2,52 € (18,99 kn)",IC,8
TFMS1380-TFK,"2,75 € (20,72 kn)",INTEGRIRANI KRUG,0
TFA9843JN1,"2,64 € (19,89 kn)",IC(ZIP9),12
TFA9842JN1-PHI,"4,78 € (36,01 kn)",IC-QUADRO,5
TFA9842AJ-PHI,"3,17 € (23,88 kn)",IC-7.5W STEREO POWER AMP+VOLUME(ZIP9),6
TEA8172-TFK,"2,92 € (22,00 kn)",IC=TDA8172,3
TEA8170,"0,00 € (0,00 kn)",IC,0
TEA6422-ST,"2,65 € (19,97 kn)",IC-AUDIO MATRIX I2C-BUS,6
TEA6420-ST,"3,23 € (24,34 kn)",IC,1
TEA6417-ST,"4,31 € (32,47 kn)",IC-VIDEO MATRIX SWITCH I2C-B,5
TEA6415B,"3,58 € (26,97 kn)",IC-DIL,1
TEA6330T-PHI,"2,92 € (22,00 kn)",IC,9
TEA6321T-PHI,"5,44 € (40,99 kn)",IC,5
TEA6320T,"2,96 € (22,30 kn)",IC-SMD,2
TEA6320-PHI,"5,71 € (43,02 kn)",IC,1
TEA6310T-PHI,"5,84 € (44,00 kn)",IC,1
TEA6300-PHI,"4,91 € (36,99 kn)",IC,1
TEA5762H,"9,03 € (68,04 kn)",IC(QFP44),4
TEA5640C-ST,"11,00 € (82,88 kn)",IF NO STOCK: TEA5640E-ST,1
TEA5580,"2,39 € (18,01 kn)",INTEGRIRANI KRUG,1
TEA5570-PHI,"3,25 € (24,49 kn)",INTEGRIRANI KRUG,3
TEA5170-ST,"2,60 € (19,59 kn)",INTEGRIRANI KRUG,3
TEA5101A,"0,00 € (0,00 kn)",IC,0
TEA3718SSP-ST,"5,73 € (43,17 kn)",INTEGRIRANI KRUG,2
TEA3718SP-ST,"7,91 € (59,60 kn)",INTEGRIRANI KRUG,2
TEA3718SFP-ST-SMD,"7,00 € (52,74 kn)","IC-DRIVER STEP.MOTOR 1,5A;10-45V",1
TEA2260-ST,"7,68 € (57,86 kn)",IC=TEA2261-ST,0
TEA2165A-ST,"15,00 € (113,02 kn)",,2
TEA2164SL-ST,"12,61 € (95,01 kn)",IC,2
TEA2164SH-ST,"6,64 € (50,03 kn)",IC,2
TEA2028B-ST,"9,03 € (68,04 kn)",IC,3
TEA2025D-ST-SMD,"5,51 € (41,52 kn)",IC-STEREO AUDIO AMP(SO20),2
TEA2025B-ST,"1,33 € (10,02 kn)",IC-1W STEREO AMPLIFIER(DIP16),4
TEA2024-ST,"8,89 € (66,98 kn)",,0
TEA2014A-ST,"1,06 € (7,99 kn)",VIDEO SIGNAL SWITCH,1
TEA2000-PHI,"12,61 € (95,01 kn)",IC,0
TEA1751T-NXP(SO16),"4,41 € (33,23 kn)",IC-SMD,8
TEA1751LT-NXP(SO16),"3,19 € (24,04 kn)",IC-SMD,4
TEA1721DT/NA,"3,32 € (25,01 kn)",IC SMD(SO7),12
TEA1623PH-NXP,"2,89 € (21,77 kn)",IC,0
TEA1620PH-NXP,"4,25 € (32,02 kn)",IC,7
TEA1611TN1,"3,58 € (26,97 kn)",IC-SMD(SOP20),6
TEA1601T-PHI,"3,19 € (24,04 kn)",IC-SMD(SO16),8
TEA1543A-PHI,"17,34 € (130,65 kn)",IC,3
TEA1533AT-NXP,"3,32 € (25,01 kn)",IC-SMD(SOIC14),4
TEA1533AP7N1,"2,74 € (20,64 kn)",IC(DIP8),9
TEA1532AT-PHI,"3,90 € (29,38 kn)",IC-SMD,2
TEA1530AT-NXP,"3,70 € (27,88 kn)",IC-SMD,3
TEA1530AP-NXP,"6,15 € (46,34 kn)",IC(DIP8),5
TEA1523P-PHI,"3,32 € (25,01 kn)",IC-DVD AMSTRAD,9
TEA1522T-NXP(SO14),"3,58 € (26,97 kn)",IC-SMD-AD/DC CONVERTERS PLUG(SO14),8
TEA1522P-NXP,"2,12 € (15,97 kn)",IC,0
TEA1521T,"5,18 € (39,03 kn)",IC-SMD,5
TEA1521P,"4,25 € (32,02 kn)",IC=TEA1523P,10
TEA1520,"0,00 € (0,00 kn)",IC,0
TEA1507P-PHI,"3,05 € (22,98 kn)",IC-LIN-IC(DIP8),2
TEA1506T-NXP,"2,65 € (19,97 kn)",IC-PHILIPS-SMD,5
TEA1506P-NXP,"5,18 € (39,03 kn)",IC DIL8,10
